route_id,stop_id,hour,pred_actual_diff_arrival,prediction_tendency
778,58343,12,00:18:13,Later
778,5044,12,00:19:28,Later
778,5045,12,00:16:17,Later
778,6854,12,00:13:42,Later
778,5036,12,00:10:02,Later
778,63189,12,00:27:59,Later
778,5039,12,00:28:02,Later
778,5040,12,00:24:47,Later
778,5041,12,00:22:36,Later
778,5042,12,00:20:39,Later
778,5043,12,00:18:52,Later
778,6248,12,00:17:44,Later
778,5044,13,00:03:36,Later
778,5045,13,00:01:54,Later
778,6854,13,00:00:32,Later
778,5036,13,23:57:05,Later
2235,5049,13,00:03:07,Later
2235,23509,13,00:04:11,Later
2235,5050,13,00:03:56,Later
2235,58344,13,00:01:45,Later
2235,5054,13,00:02:40,Later
2235,23930,13,00:04:15,Later
2235,63190,13,00:04:16,Later
2235,58343,13,00:17:08,Later
2235,5042,13,00:13:30,Later
790,5044,13,00:18:35,Later
790,5049,13,00:22:31,Later
790,23509,13,00:18:55,Later
790,5050,13,00:16:26,Later
790,5042,13,00:16:48,Later
790,5043,13,00:15:20,Later
790,6248,13,00:14:01,Later
778,58343,13,00:24:35,Later
778,63189,13,00:23:09,Later
778,5039,13,00:22:51,Later
778,5040,13,00:18:50,Later
778,5041,13,00:15:16,Later
778,5042,13,00:12:04,Later
778,5043,13,00:09:13,Later
778,6248,13,00:08:21,Later
