trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
670306,17:30:00,17:30:00,5049,1,,,,1
670306,17:31:00,17:31:00,23509,2,,,,1
670306,17:33:00,17:33:00,5050,3,,,,1
670306,17:35:00,17:35:00,5042,4,,,,1
670306,17:36:00,17:36:00,5043,5,,,,1
670306,17:37:00,17:37:00,6248,6,,,,1
670306,17:40:00,17:40:00,5044,7,,,,1
670306,17:43:00,17:43:00,5045,8,,,,1
670306,17:44:00,17:44:00,6854,9,,,,1
670306,17:50:00,17:50:00,5046,10,,,,1
670306,17:57:00,17:57:00,5047,11,,,,1
670306,18:00:00,18:00:00,5048,12,,,,1
670306,18:05:00,18:05:00,132600,13,,,,1
670306,18:06:00,18:06:00,5049,14,,,,1
670307,18:10:00,18:10:00,5049,1,,,,1
670307,18:11:00,18:11:00,23509,2,,,,1
670307,18:13:00,18:13:00,5050,3,,,,1
670307,18:15:00,18:15:00,5042,4,,,,1
670307,18:16:00,18:16:00,5043,5,,,,1
670307,18:17:00,18:17:00,6248,6,,,,1
670307,18:20:00,18:20:00,5044,7,,,,1
670307,18:23:00,18:23:00,5045,8,,,,1
670307,18:24:00,18:24:00,6854,9,,,,1
670307,18:30:00,18:30:00,5046,10,,,,1
670307,18:37:00,18:37:00,5047,11,,,,1
670307,18:40:00,18:40:00,5048,12,,,,1
670307,18:45:00,18:45:00,132600,13,,,,1
670307,18:46:00,18:46:00,5049,14,,,,1
670308,18:50:00,18:50:00,5049,1,,,,1
670308,18:51:00,18:51:00,23509,2,,,,1
670308,18:53:00,18:53:00,5050,3,,,,1
670308,18:55:00,18:55:00,5042,4,,,,1
670308,18:56:00,18:56:00,5043,5,,,,1
670308,18:57:00,18:57:00,6248,6,,,,1
670308,19:00:00,19:00:00,5044,7,,,,1
670308,19:03:00,19:03:00,5045,8,,,,1
670308,19:04:00,19:04:00,6854,9,,,,1
670308,19:10:00,19:10:00,5046,10,,,,1
670308,19:17:00,19:17:00,5047,11,,,,1
670308,19:20:00,19:20:00,5048,12,,,,1
670308,19:25:00,19:25:00,132600,13,,,,1
670308,19:26:00,19:26:00,5049,14,,,,1
670309,19:30:00,19:30:00,5049,1,,,,1
670309,19:31:00,19:31:00,23509,2,,,,1
670309,19:33:00,19:33:00,5050,3,,,,1
670309,19:35:00,19:35:00,5042,4,,,,1
670309,19:36:00,19:36:00,5043,5,,,,1
670309,19:37:00,19:37:00,6248,6,,,,1
670309,19:40:00,19:40:00,5044,7,,,,1
670309,19:43:00,19:43:00,5045,8,,,,1
670309,19:44:00,19:44:00,6854,9,,,,1
670309,19:50:00,19:50:00,5046,10,,,,1
670309,19:57:00,19:57:00,5047,11,,,,1
670309,20:00:00,20:00:00,5048,12,,,,1
670309,20:05:00,20:05:00,132600,13,,,,1
670309,20:06:00,20:06:00,5049,14,,,,1
670310,21:05:00,21:05:00,5049,1,,,,1
670310,21:06:00,21:06:00,23509,2,,,,1
670310,21:08:00,21:08:00,5050,3,,,,1
670310,21:10:00,21:10:00,5042,4,,,,1
670310,21:11:00,21:11:00,5043,5,,,,1
670310,21:12:00,21:12:00,6248,6,,,,1
670310,21:15:00,21:15:00,5044,7,,,,1
670310,21:18:00,21:18:00,5045,8,,,,1
670310,21:19:00,21:19:00,6854,9,,,,1
670310,21:25:00,21:25:00,5046,10,,,,1
670310,21:32:00,21:32:00,5047,11,,,,1
670310,21:35:00,21:35:00,5048,12,,,,1
670311,21:45:00,21:45:00,5049,1,,,,1
670311,21:46:00,21:46:00,23509,2,,,,1
670311,21:48:00,21:48:00,5050,3,,,,1
670311,21:50:00,21:50:00,5042,4,,,,1
670311,21:51:00,21:51:00,5043,5,,,,1
670311,21:52:00,21:52:00,6248,6,,,,1
670311,21:55:00,21:55:00,5044,7,,,,1
670311,21:58:00,21:58:00,5045,8,,,,1
670311,21:59:00,21:59:00,6854,9,,,,1
670311,22:05:00,22:05:00,5046,10,,,,1
670311,22:12:00,22:12:00,5047,11,,,,1
670311,22:15:00,22:15:00,5048,12,,,,1
670312,22:25:00,22:25:00,5049,1,,,,1
670312,22:26:00,22:26:00,23509,2,,,,1
670312,22:28:00,22:28:00,5050,3,,,,1
670312,22:30:00,22:30:00,5042,4,,,,1
670312,22:31:00,22:31:00,5043,5,,,,1
670312,22:32:00,22:32:00,6248,6,,,,1
670312,22:35:00,22:35:00,5044,7,,,,1
670312,22:38:00,22:38:00,5045,8,,,,1
670312,22:39:00,22:39:00,6854,9,,,,1
670312,22:45:00,22:45:00,5046,10,,,,1
670312,22:52:00,22:52:00,5047,11,,,,1
670312,22:55:00,22:55:00,5048,12,,,,1
670313,23:05:00,23:05:00,5049,1,,,,1
670313,23:06:00,23:06:00,23509,2,,,,1
670313,23:08:00,23:08:00,5050,3,,,,1
670313,23:10:00,23:10:00,5042,4,,,,1
670313,23:11:00,23:11:00,5043,5,,,,1
